Temperature_C,Time_hours,pH,Enzyme_mL,Substrate_gL,Inoculum_mL,Biofuel_Yield_gL
32.4,51.2,5.42,12.7,118.3,5.0,5.0
34.5,39.4,5.7,22.7,161.9,8.7,5.0
32.8,24.0,5.47,31.0,183.8,5.0,5.0
31.5,96.0,5.13,15.1,137.8,7.6,5.0
37.3,77.6,5.61,29.6,158.5,5.0,5.0
39.8,71.3,5.1,13.9,104.6,5.0,5.0
31.5,59.3,5.5,29.5,124.4,5.0,5.0
36.4,27.4,5.68,24.3,159.4,5.0,5.0
33.4,42.9,5.08,32.4,159.1,5.2,5.0
33.8,83.2,5.28,23.0,113.7,10.4,7.84
33.5,32.3,5.81,16.7,131.6,10.4,5.0
32.8,24.0,5.38,21.8,188.6,5.0,5.0
35.1,48.7,5.67,22.3,144.8,6.4,5.0
32.9,50.9,5.66,19.0,146.4,5.0,5.0
35.7,58.4,5.81,33.1,167.7,7.5,5.0
34.9,78.6,5.49,10.0,67.3,10.5,5.0
34.4,75.1,5.54,17.8,128.4,5.0,5.0
32.7,62.1,5.2,22.1,193.9,5.8,5.0
33.6,96.0,5.71,17.7,104.2,5.0,5.0
36.9,25.5,5.67,10.0,94.2,8.6,5.0
36.3,70.3,5.41,23.2,140.2,5.0,5.0
32.6,74.7,5.7,15.4,83.2,5.0,5.0
35.2,29.4,5.73,16.3,133.4,5.0,5.0
36.9,25.8,5.49,15.8,73.3,5.0,5.0
30.8,37.6,5.54,19.2,137.0,5.0,5.0
36.4,39.2,5.38,13.7,140.4,7.5,5.0
33.3,79.6,5.51,24.6,112.8,5.0,5.0
36.4,40.2,5.01,11.5,107.4,7.8,5.0
33.1,35.6,5.44,15.6,86.8,5.0,5.0
30.5,40.2,4.92,17.1,99.6,5.0,5.0
30.9,95.5,5.23,20.7,124.8,5.0,5.0
35.1,55.0,5.85,14.9,87.1,12.8,5.0
35.6,49.9,5.35,20.3,167.4,5.0,5.0
32.7,51.7,5.59,31.9,156.4,6.5,5.0
36.6,96.0,5.41,18.3,90.4,5.0,5.0
30.8,37.5,5.64,12.1,64.6,5.0,5.0
34.8,96.0,5.6,10.0,50.0,5.0,5.0
32.0,60.7,5.69,16.0,139.5,5.2,5.0
33.4,50.4,4.97,15.5,81.7,10.6,5.0
35.1,96.0,5.33,10.0,51.9,5.0,5.0
32.8,32.2,5.67,17.3,103.9,5.0,5.0
34.0,45.7,5.14,22.5,194.3,8.9,5.56
37.5,29.5,5.42,18.7,153.5,8.3,5.0
33.6,87.9,5.15,19.7,178.7,9.7,6.8
37.1,96.0,5.63,12.0,71.7,5.5,5.0
32.2,96.0,5.33,14.7,61.0,5.0,5.0
36.3,96.0,4.67,10.0,51.7,6.9,5.0
38.6,49.5,5.68,31.3,193.3,5.0,5.0
30.0,45.5,5.8,15.1,95.0,5.0,5.0
33.0,24.0,5.26,21.3,118.9,5.0,5.0
36.4,96.0,5.59,18.7,109.2,5.8,5.0
34.5,69.0,5.1,10.4,159.6,5.0,5.0
35.9,42.7,5.26,19.0,96.5,5.0,5.0
33.5,96.0,5.53,23.6,130.3,5.0,5.0
35.2,33.6,5.27,28.1,199.3,5.0,5.0
34.6,66.9,5.54,10.0,116.6,5.2,5.0
37.9,50.1,5.13,21.1,132.7,11.4,10.25
35.6,75.1,5.75,20.4,125.4,5.3,5.0
35.8,52.9,5.27,23.4,170.5,5.0,5.0
34.0,26.4,5.18,14.4,90.0,5.0,5.0
33.8,56.7,5.26,16.7,75.6,7.7,5.0
33.9,92.2,5.36,36.5,163.1,5.0,5.0
36.0,53.8,5.32,17.6,112.3,5.0,5.0
33.9,80.4,5.58,29.7,187.1,5.0,5.0
35.7,32.4,5.56,17.9,146.6,5.0,5.0
40.0,53.9,5.23,17.7,134.7,7.1,5.0
37.2,40.0,5.38,10.0,60.6,6.0,5.0
34.2,79.3,5.79,29.8,159.6,5.0,5.0
38.0,55.5,5.67,27.0,152.9,5.1,5.0
34.0,77.1,4.98,31.5,146.0,5.0,5.0
30.0,94.1,5.0,10.0,90.2,6.4,5.0
32.5,77.2,5.28,22.2,192.0,5.4,5.0
30.3,62.6,5.45,20.2,98.2,5.0,5.0
34.1,33.1,5.3,18.2,72.8,5.0,5.0
35.0,54.5,5.15,29.9,198.1,5.0,5.0
39.2,41.8,5.03,10.0,161.9,9.8,5.0
35.8,46.0,5.66,13.1,112.2,6.7,5.0
34.5,45.3,5.52,30.2,190.4,9.6,6.35
37.1,33.4,5.58,10.0,63.7,5.0,5.0
30.0,24.0,5.25,10.4,63.1,8.9,5.0
35.6,39.1,5.79,32.3,152.4,5.0,5.0
36.9,60.1,5.36,18.6,76.7,5.0,5.0
31.3,27.8,5.55,32.2,187.6,5.0,5.0
37.9,55.0,5.32,26.1,176.1,5.0,5.0
35.8,96.0,5.47,11.9,96.0,5.0,5.0
34.0,91.1,5.78,31.3,183.3,5.0,5.0
36.6,96.0,5.51,10.0,56.4,8.6,5.0
40.0,66.4,5.53,20.1,132.3,6.1,5.0
35.5,96.0,5.2,20.8,190.3,6.9,5.0
35.6,38.0,5.74,23.2,178.3,6.4,5.0
33.9,39.6,5.54,19.3,103.4,5.0,5.0
32.9,24.0,5.27,10.0,77.4,5.0,5.0
37.1,96.0,5.38,13.6,81.6,5.0,5.0
32.9,96.0,5.6,21.1,127.2,6.3,5.0
35.2,41.4,5.69,23.3,139.5,5.6,5.0
33.8,48.1,5.7,11.0,54.9,5.1,5.0
36.2,37.5,5.18,19.9,112.0,6.6,5.0
35.8,66.1,5.43,23.1,174.6,5.0,5.0
37.6,95.8,5.52,10.2,116.6,5.0,5.0
33.7,24.0,5.25,10.0,75.4,5.0,5.0
34.3,67.0,5.64,32.6,193.2,9.9,5.02
32.6,47.5,5.79,10.0,89.9,5.0,5.0
33.9,57.8,5.33,20.3,169.8,8.8,6.16
35.9,68.7,5.23,10.0,79.1,5.0,5.0
36.9,49.7,5.54,10.0,113.5,7.4,5.0
32.7,51.8,5.43,12.8,123.6,5.0,5.0
37.2,49.1,5.17,23.8,125.1,8.3,6.85
38.4,88.7,5.27,15.5,127.5,7.2,5.55
36.0,67.3,5.39,10.0,83.7,5.0,5.0
39.7,61.0,5.17,16.5,127.4,5.0,5.0
33.1,28.9,5.41,20.9,122.3,5.0,5.0
31.9,45.2,5.33,10.0,81.3,5.0,5.0
30.6,85.6,5.3,34.5,198.2,5.0,5.0
38.7,55.6,5.18,19.8,179.8,6.0,5.0
36.6,75.9,5.1,25.5,183.1,5.0,5.0
34.9,96.0,5.46,20.9,152.8,5.0,5.0
35.7,91.8,5.8,10.0,74.0,5.5,5.0
32.2,57.2,4.81,20.0,135.2,8.4,5.0
40.0,42.3,5.41,29.9,173.2,8.4,9.46
35.3,24.0,5.44,10.0,55.8,5.0,5.0
35.3,50.2,5.5,15.6,124.4,6.0,5.0
36.8,46.4,5.22,18.7,109.4,5.0,5.0
36.2,66.4,5.39,13.3,81.8,7.1,5.0
35.6,50.6,5.55,12.7,106.7,11.8,5.28
33.0,46.5,5.66,29.8,197.5,5.0,5.0
36.2,24.0,5.37,20.0,158.5,6.7,5.0
39.7,34.1,5.63,10.0,94.9,5.9,5.0
38.4,69.3,5.58,25.1,140.8,5.0,5.0
39.0,96.0,5.6,15.3,87.0,7.1,5.0
33.7,52.0,5.35,25.1,141.6,5.0,5.0
32.5,64.3,5.08,30.8,184.4,5.0,5.0
34.7,87.9,5.7,15.6,133.5,5.0,5.0
35.1,36.4,5.13,29.0,160.0,13.0,14.28
37.7,65.6,5.48,16.2,118.0,5.0,5.0
30.8,37.7,5.68,23.9,128.6,6.7,5.0
38.8,84.1,5.36,22.5,154.3,5.0,5.0
34.6,58.9,5.77,27.3,171.9,5.5,5.0
33.9,63.4,5.3,24.1,148.9,6.3,5.31
32.5,36.9,5.54,33.6,196.6,5.0,5.0
30.9,77.8,5.32,17.8,173.0,5.0,5.0
37.1,96.0,5.54,17.1,166.6,5.0,5.0
35.2,33.0,5.18,29.9,176.8,5.0,5.0
31.8,46.1,5.56,15.6,92.2,5.0,5.0
31.8,61.3,5.35,13.3,114.8,5.7,5.0
34.2,80.9,5.59,22.0,134.7,5.0,5.0
39.2,41.3,5.23,10.9,119.4,7.1,5.0
34.4,24.0,5.66,40.0,177.1,11.3,6.74
31.2,96.0,5.15,14.7,54.1,5.0,5.0
34.4,79.9,5.82,15.3,81.4,11.9,5.0
34.3,24.0,5.41,27.7,182.3,7.8,5.0
30.0,40.3,5.4,10.0,58.9,6.5,5.0
34.9,96.0,5.28,10.0,84.0,5.0,5.0
34.4,96.0,5.43,14.8,102.7,5.3,5.0
36.7,87.3,5.16,20.1,162.6,5.0,5.0
39.6,50.0,5.5,16.1,134.0,5.1,5.0
37.8,56.9,5.42,21.9,193.2,9.5,8.76
34.3,51.1,5.48,13.9,84.2,5.0,5.0
32.2,96.0,5.33,25.2,180.8,6.9,5.35
40.0,35.2,5.63,16.5,92.4,8.6,5.0
35.1,36.5,5.84,15.3,86.8,5.0,5.0
35.0,90.5,5.43,19.9,124.8,6.0,5.0
34.9,53.4,5.54,22.4,60.7,7.0,5.0
35.5,96.0,5.29,20.3,107.6,12.4,8.91
34.6,39.0,5.37,10.0,103.4,9.6,5.0
33.6,53.1,5.42,13.4,74.0,9.5,5.0
33.6,34.4,5.71,26.6,179.1,5.0,5.0
34.9,54.8,5.38,10.0,107.9,6.7,5.0
33.6,26.1,4.98,22.5,197.3,5.0,5.0
33.2,42.8,5.27,30.0,185.0,5.0,5.0
35.3,26.6,5.91,15.4,79.2,5.0,5.0
34.4,77.2,5.64,13.6,125.8,5.0,5.0
38.8,78.1,5.03,25.9,140.3,5.0,5.0
30.0,24.0,5.65,27.4,172.8,11.8,5.0
37.7,96.0,5.23,33.4,182.8,5.3,5.58
38.1,96.0,5.69,27.0,143.6,8.5,5.15
30.0,55.9,5.64,10.0,55.3,6.1,5.0
34.1,39.6,5.4,26.5,122.2,6.4,5.0
34.1,96.0,5.75,21.8,182.7,7.8,5.0
31.5,28.2,5.44,35.5,157.1,5.0,5.0
33.1,55.1,5.37,22.7,180.5,5.0,5.0
32.2,59.7,5.5,22.4,151.1,5.0,5.0
39.4,96.0,5.54,10.0,56.6,5.0,5.0
37.3,65.4,5.64,27.4,195.2,5.4,5.0
38.2,42.6,5.32,40.0,187.7,6.1,5.72
36.8,33.9,5.18,10.0,69.0,5.3,5.0
32.2,46.0,5.78,14.3,66.9,5.5,5.0
33.7,33.0,5.65,18.5,130.9,6.0,5.0
36.2,55.9,5.49,29.2,163.6,5.0,5.0
31.9,41.2,5.23,13.4,107.3,5.0,5.0
36.8,25.9,5.5,11.8,70.5,5.0,5.0
34.4,96.0,5.41,22.1,126.6,6.0,5.0
34.1,42.6,5.54,11.5,100.6,6.7,5.0
36.8,29.0,5.33,29.2,102.8,5.0,5.0
36.1,50.2,5.55,25.4,146.7,8.4,5.0
34.1,56.5,5.51,26.3,182.8,6.5,5.0
37.9,24.0,5.45,16.6,133.8,5.0,5.0
32.3,64.4,5.4,23.4,153.1,5.0,5.0
36.5,32.3,5.42,16.3,149.0,5.0,5.0
36.5,96.0,5.28,28.8,132.7,7.9,6.81
34.2,71.0,5.72,16.6,96.6,7.1,5.0
35.8,44.7,5.61,15.6,106.7,5.0,5.0
31.9,37.6,5.48,19.8,97.4,8.7,5.0
37.3,51.8,5.7,24.5,187.6,5.2,5.0
34.5,74.2,5.54,20.3,174.0,8.9,5.0
33.7,53.9,5.4,19.9,136.9,5.5,5.0
37.6,49.0,5.4,28.7,186.8,5.0,5.0
33.2,56.2,5.48,30.1,183.0,6.4,5.0
31.5,40.4,5.72,21.0,189.2,12.6,5.0
31.1,46.0,5.4,10.2,83.3,5.0,5.0
36.5,24.0,5.55,10.0,157.6,5.0,5.0
31.8,88.8,5.37,15.3,141.4,5.0,5.0
39.4,63.4,5.38,27.6,160.1,6.5,5.09
30.0,37.1,5.25,18.2,89.5,14.3,8.1
39.2,96.0,5.16,17.4,154.2,8.9,6.82
35.5,57.0,5.47,15.1,111.5,5.0,5.0
34.8,32.5,5.51,26.4,175.1,10.3,5.82
33.6,83.8,5.33,30.8,169.3,6.5,5.0
36.0,66.6,5.63,19.9,81.7,6.4,5.0
34.9,66.5,5.34,12.4,77.6,5.0,5.0
37.8,44.1,5.56,22.3,157.7,5.0,5.0
35.3,68.4,5.26,12.7,132.6,5.3,5.0
35.4,47.9,5.42,20.6,133.6,11.4,5.66
34.1,72.1,5.73,34.8,162.9,5.0,5.0
34.9,24.0,5.38,33.2,178.2,6.8,5.0
35.8,44.0,5.31,13.8,85.8,5.9,5.0
30.7,96.0,5.33,21.5,133.3,5.2,5.0
31.6,37.2,5.26,22.7,174.3,8.6,5.75
36.9,40.4,5.45,25.4,180.9,5.0,5.0
35.4,43.6,5.17,14.7,93.1,10.4,5.03
34.5,29.7,5.36,10.6,65.6,5.0,5.0
35.0,24.0,5.57,17.8,84.9,5.0,5.0
35.9,48.7,5.38,33.6,191.8,5.0,5.0
33.7,58.4,5.34,20.5,119.4,5.0,5.0
33.1,53.2,5.51,11.9,112.8,10.9,5.0
35.5,50.8,5.77,10.0,52.0,5.0,5.0
32.6,55.8,5.7,10.0,57.7,5.0,5.0
36.0,91.1,5.18,23.7,150.3,10.1,9.73
30.7,49.6,5.61,10.6,138.5,5.9,5.0
37.6,41.0,5.2,20.4,136.3,5.0,5.0
36.2,47.4,5.69,17.0,66.5,5.0,5.0
35.6,72.9,5.84,18.8,102.8,5.5,5.0
37.5,96.0,5.59,24.0,171.9,5.0,5.0
39.2,39.9,5.52,10.0,76.2,6.5,5.0
37.5,57.4,5.4,31.4,182.4,5.0,5.0
30.4,64.7,5.54,11.8,68.2,5.8,5.0
31.8,33.2,5.82,10.1,75.4,8.9,5.0
33.4,55.2,5.41,15.3,121.7,5.0,5.0
35.1,26.2,5.07,29.2,191.8,12.1,9.55
36.3,24.0,5.45,13.4,99.4,5.0,5.0
33.2,65.6,5.5,26.2,148.7,5.0,5.0
35.5,45.1,4.99,27.0,138.3,5.0,5.0
33.1,60.4,4.97,10.0,72.4,5.0,5.0
33.5,54.1,5.36,10.0,87.2,5.0,5.0
31.5,33.5,5.11,35.2,189.5,5.0,5.0
32.7,53.4,5.32,12.5,77.7,5.0,5.0
31.6,29.5,5.32,17.5,154.3,5.0,5.0
32.6,96.0,5.35,34.1,194.7,12.6,17.18
37.6,27.7,5.59,11.9,67.9,5.0,5.0
32.6,49.5,5.6,27.5,109.9,5.0,5.0
40.0,32.4,5.53,11.4,83.6,6.3,5.0
36.2,72.6,5.63,18.0,83.2,5.0,5.0
35.5,46.3,5.28,10.0,67.8,5.9,5.0
32.9,42.1,5.78,29.1,147.4,5.3,5.0
36.8,83.6,5.62,29.0,162.0,5.0,5.0
33.6,55.4,5.01,30.7,151.5,5.0,5.0
35.3,70.7,5.37,33.9,188.7,10.5,12.58
40.0,33.4,5.04,10.3,71.9,5.0,5.0
34.8,27.0,5.65,10.0,98.0,5.0,5.0
37.9,57.6,5.91,12.2,101.7,5.0,5.0
33.2,46.6,5.26,10.0,84.8,15.2,6.41
34.9,74.7,5.54,10.0,71.3,7.6,5.0
39.4,52.5,5.46,20.6,123.0,8.5,5.7
33.4,60.5,5.23,26.0,175.2,20.0,22.24
39.5,24.2,5.58,27.9,193.2,5.9,5.0
36.8,96.0,5.94,10.0,69.4,5.0,5.0
33.6,50.3,5.36,17.2,173.5,5.0,5.0
36.6,77.4,5.42,27.0,173.7,5.0,5.0
37.4,35.9,5.76,18.1,108.3,5.0,5.0
36.6,63.7,5.29,10.0,66.5,5.0,5.0
31.1,28.5,5.61,27.1,198.5,10.1,5.0
33.2,68.4,5.03,30.0,148.3,11.3,11.93
34.4,45.7,5.5,35.4,197.3,5.0,5.0
34.8,55.4,5.2,11.0,122.5,10.9,5.0
36.6,77.4,5.21,16.0,109.3,6.6,5.0
35.4,29.5,5.29,20.3,87.1,5.0,5.0
31.7,38.8,5.61,28.5,197.5,5.0,5.0
36.0,68.6,5.59,11.9,88.0,6.7,5.0
36.5,96.0,5.52,13.5,53.6,5.5,5.0
36.4,51.0,4.99,24.0,126.9,5.0,5.0
37.7,73.4,5.23,20.7,106.6,5.0,5.0
37.1,51.8,5.51,12.1,89.2,5.0,5.0
36.1,96.0,5.55,25.1,145.2,5.0,5.0
34.8,24.0,4.87,23.2,104.6,5.0,5.0
30.8,57.2,5.78,16.3,110.3,6.5,5.0
36.1,24.2,5.44,10.0,53.5,6.1,5.0
35.5,24.0,5.22,26.9,138.4,5.0,5.0
35.7,63.4,5.49,20.5,68.3,5.0,5.0
31.8,58.5,5.07,22.9,82.1,9.8,6.61
32.3,47.4,5.22,21.8,157.6,7.2,5.0
37.6,51.8,5.43,13.2,97.0,5.0,5.0
34.9,96.0,5.44,10.0,74.5,7.2,5.0
36.7,48.0,5.73,21.1,136.6,9.2,5.0
35.1,70.5,5.03,10.0,82.2,8.5,5.0
35.1,39.5,5.75,11.0,90.6,5.0,5.0
37.3,63.3,5.41,25.0,143.2,5.0,5.0
33.7,48.5,5.26,26.1,161.0,5.0,5.0
35.2,44.5,5.46,15.1,160.9,6.7,5.0
33.8,96.0,5.8,26.2,122.3,11.1,5.0
33.9,96.0,5.29,12.3,118.1,7.3,5.0
34.2,58.5,5.54,20.4,168.1,5.5,5.0
35.6,24.0,5.19,10.0,79.0,12.1,5.0
33.8,45.6,5.39,10.0,72.8,5.8,5.0
38.1,96.0,5.67,18.0,149.7,14.6,9.09
32.8,48.7,5.38,12.4,111.4,7.6,5.0
34.5,94.8,5.57,11.2,156.5,5.0,5.0
33.9,96.0,5.47,13.9,88.5,5.0,5.0
38.6,60.9,5.82,16.0,98.7,5.0,5.0
35.5,35.8,5.77,38.9,184.5,12.5,6.49
37.6,24.0,5.48,19.4,113.2,5.3,5.0
31.3,76.9,5.14,18.3,138.6,10.5,5.3
35.7,36.3,4.96,10.0,66.0,10.4,5.0
37.2,59.6,5.06,11.0,76.8,5.8,5.0
35.2,29.2,5.45,10.6,55.4,11.3,5.0
37.7,47.8,5.58,14.5,113.7,7.9,5.0
33.7,55.5,5.24,30.1,198.3,10.3,10.67
38.5,62.4,5.54,36.6,181.1,5.7,5.0
40.0,31.3,5.26,19.8,144.9,5.0,5.0
34.1,96.0,5.47,17.4,179.2,5.0,5.0
33.9,40.5,5.61,25.2,139.1,5.0,5.0
38.6,24.0,5.27,17.4,105.3,6.0,5.0
38.9,51.7,5.18,10.0,76.0,5.0,5.0
33.7,55.5,5.27,24.3,148.0,7.1,5.0
33.9,59.2,4.99,10.0,79.0,5.0,5.0
34.3,96.0,5.36,19.1,112.6,5.0,5.0
31.6,48.5,5.82,35.6,173.9,8.0,5.0
32.7,51.4,5.48,10.0,69.4,9.8,5.0
32.5,31.5,5.17,15.8,69.4,5.0,5.0
33.1,82.3,5.43,10.0,83.7,5.0,5.0
34.9,59.9,5.29,12.3,132.8,6.9,5.0
35.6,44.3,5.45,23.3,87.8,6.5,5.0
38.9,24.0,5.61,20.4,125.5,11.3,5.75
32.5,96.0,5.34,17.5,95.3,5.0,5.0
37.5,29.6,4.97,24.7,125.9,5.0,5.0
34.5,40.6,5.44,11.1,91.6,7.4,5.0
34.9,65.3,5.33,33.7,197.0,5.6,5.0
36.7,30.0,5.04,22.0,123.9,9.6,6.44
32.2,25.9,5.46,17.8,161.5,6.5,5.0
36.0,24.0,5.79,30.8,155.1,7.2,5.0
35.4,78.3,5.48,25.1,123.6,5.0,5.0
36.2,41.6,5.42,10.0,85.8,5.6,5.0
35.7,96.0,5.6,20.0,126.6,8.4,5.0
40.0,33.2,5.58,21.7,152.1,5.0,5.0
33.4,34.4,5.4,24.9,119.0,15.1,11.56
33.7,41.2,5.47,10.0,62.3,5.0,5.0
33.4,61.7,5.17,25.9,52.7,6.0,5.0
33.6,43.2,5.66,14.0,99.2,5.0,5.0
33.4,74.2,5.53,14.6,72.5,10.2,5.0
38.0,33.5,4.95,34.8,185.9,6.0,5.0
38.6,27.4,5.74,10.5,76.4,20.0,5.0
33.6,24.0,5.76,15.8,109.1,9.8,5.0
32.9,24.0,5.47,21.0,156.8,5.0,5.0
36.2,42.1,5.66,21.4,172.3,7.9,5.0
33.6,47.0,5.33,19.6,121.7,5.0,5.0
36.6,39.8,5.03,10.9,77.2,5.0,5.0
35.5,96.0,5.73,11.0,90.6,5.2,5.0
31.2,96.0,5.7,14.7,112.8,9.8,5.0
38.9,46.2,5.24,18.6,104.7,5.0,5.0
39.5,24.0,5.37,11.4,102.3,10.2,5.0
33.5,41.1,5.64,10.0,69.8,5.0,5.0
34.0,40.5,5.41,32.5,187.0,5.0,5.0
35.7,39.3,5.46,10.0,54.5,6.6,5.0
35.8,38.5,5.58,12.2,116.0,5.0,5.0
36.6,39.4,5.63,29.4,197.0,5.0,5.0
40.0,45.0,5.58,24.5,149.0,5.0,5.0
34.6,39.7,5.82,20.4,103.3,6.2,5.0
33.0,60.6,5.7,10.0,71.9,5.0,5.0
31.6,65.4,5.6,26.4,194.6,5.3,5.0
33.2,34.6,5.45,10.0,52.1,13.7,5.0
34.9,96.0,5.84,19.6,152.2,8.0,5.0
39.5,33.4,5.57,29.3,182.0,5.0,5.0
33.7,24.3,5.66,11.0,53.8,14.1,5.0
35.6,66.0,5.35,29.1,158.8,5.0,5.0
35.0,36.3,5.61,29.5,199.8,6.3,5.0
38.0,64.1,5.64,14.9,145.9,6.9,5.0
40.0,24.0,5.56,20.2,112.2,14.5,8.61
33.7,96.0,5.01,28.0,181.2,5.0,5.0
33.8,76.4,5.51,20.3,133.1,7.2,5.0
37.6,25.8,5.52,17.9,162.4,6.6,5.0
36.7,26.1,5.2,19.7,138.2,8.7,5.2
39.6,96.0,5.58,10.0,55.7,5.0,5.0
36.5,37.8,5.77,14.7,82.0,6.2,5.0
34.1,36.0,5.25,10.0,61.8,5.5,5.0
36.5,24.0,5.73,10.0,66.0,5.0,5.0
37.8,45.8,5.61,10.0,52.3,5.2,5.0
37.1,48.7,5.74,22.1,113.2,5.0,5.0
36.3,78.1,5.1,10.2,76.8,8.3,5.0
37.7,27.1,5.48,27.2,178.4,5.0,5.0
37.9,25.5,5.51,20.7,162.5,5.0,5.0
38.5,68.4,5.74,12.1,136.0,5.0,5.0
36.6,90.3,5.77,15.8,123.4,11.8,5.0
34.6,24.9,5.34,11.4,88.4,5.0,5.0
35.4,93.8,5.39,19.7,121.2,7.3,5.0
38.0,55.6,5.62,20.2,146.2,10.6,5.25
33.0,94.2,5.56,21.5,167.3,5.0,5.0
35.9,52.7,5.41,10.0,62.3,7.1,5.0
34.0,24.0,5.42,23.7,156.3,8.7,5.0
35.1,50.6,5.62,20.2,161.4,6.0,5.0
38.2,92.8,5.46,26.7,133.8,5.0,5.0
35.5,34.9,5.36,13.1,82.1,7.1,5.0
35.1,45.0,5.37,22.4,130.9,5.0,5.0
31.6,50.0,5.25,17.6,125.4,7.2,5.0
36.9,24.0,5.39,19.2,121.4,5.0,5.0
36.6,96.0,5.33,13.4,119.1,6.8,5.0
40.0,34.8,5.46,10.0,66.6,6.8,5.0
34.2,70.3,5.19,11.7,77.4,5.8,5.0
35.5,52.3,5.74,12.5,64.6,5.0,5.0
35.6,96.0,5.16,10.0,86.4,5.0,5.0
38.9,66.9,5.5,10.9,89.5,5.0,5.0
34.8,48.5,5.66,22.2,86.8,10.8,5.0
35.7,34.9,5.52,14.6,81.6,5.0,5.0
36.5,81.4,5.25,31.7,160.3,5.0,5.0
35.5,24.0,5.37,22.7,172.8,5.0,5.0
33.9,75.4,5.1,12.6,99.1,9.2,5.0
35.5,31.5,5.36,19.2,95.8,5.0,5.0
37.7,96.0,5.43,29.6,176.6,6.1,5.0
32.4,59.2,5.4,21.1,143.6,5.0,5.0
35.3,75.3,5.4,10.0,94.0,6.3,5.0
33.2,56.9,5.58,29.3,157.0,5.0,5.0
38.0,24.0,5.17,27.8,101.7,8.3,6.12
31.2,35.5,5.59,12.8,138.0,9.3,5.0
33.6,76.4,4.97,36.9,198.9,5.0,5.51
35.9,59.3,5.69,11.9,95.2,7.2,5.0
38.9,96.0,5.25,26.8,189.6,11.8,16.27
34.8,66.8,5.86,16.1,98.1,5.0,5.0
33.6,33.7,5.56,13.6,131.0,20.0,7.13
39.7,36.7,5.47,17.7,119.0,5.0,5.0
31.4,57.5,5.49,17.1,167.5,6.4,5.0
30.0,24.0,5.54,11.3,59.2,15.7,5.0
36.1,96.0,5.35,32.8,144.1,5.5,5.68
33.7,68.1,5.1,21.4,164.1,5.0,5.0
32.4,96.0,5.48,17.3,120.8,8.7,5.0
36.8,24.8,5.56,10.0,65.8,8.1,5.0
35.6,96.0,5.11,17.9,86.7,5.0,5.0
33.6,96.0,5.5,24.8,152.0,5.0,5.0
31.8,28.2,5.61,32.2,184.3,5.0,5.0
37.2,80.3,5.42,14.5,113.2,5.8,5.0
36.6,54.6,5.23,22.3,134.1,8.6,6.85
34.8,25.2,5.23,10.0,84.3,6.8,5.0
39.6,69.9,5.31,20.1,111.8,5.0,5.0
32.3,82.8,5.23,10.0,100.5,6.1,5.0
31.2,40.4,5.41,20.6,148.3,5.0,5.0
33.3,96.0,5.53,33.4,197.7,5.9,5.0
34.9,24.0,5.12,18.1,172.0,6.5,5.0
35.6,25.9,4.99,17.3,78.8,5.0,5.0
34.4,58.5,5.66,19.9,136.7,7.3,5.0
35.9,55.3,5.39,16.3,60.0,13.3,7.57
31.9,38.2,5.72,10.0,87.0,5.2,5.0
38.6,81.8,5.55,10.0,75.8,8.4,5.0
34.8,71.2,5.27,14.9,100.3,11.2,5.4
37.8,83.9,5.29,25.7,151.8,5.0,5.0
35.9,51.3,5.34,22.1,124.9,5.0,5.0
36.1,73.8,5.24,22.8,189.9,5.0,5.0
36.4,43.7,5.46,10.0,81.9,11.5,5.89
36.1,96.0,4.96,14.1,104.6,5.2,5.0
36.6,36.4,5.62,17.5,99.5,5.0,5.0
38.3,96.0,5.79,15.1,85.4,5.0,5.0
35.5,55.6,5.58,37.7,199.0,5.0,5.0
36.8,27.4,5.53,14.3,108.1,5.0,5.0
34.8,96.0,5.15,19.4,191.1,5.0,5.0
38.6,58.1,5.44,22.3,108.6,5.0,5.0
33.3,83.6,5.52,13.1,80.6,5.0,5.0
39.5,96.0,5.46,11.6,67.9,10.7,5.0
34.9,64.6,5.61,30.6,178.3,5.0,5.0
31.4,40.6,5.52,14.5,54.8,5.0,5.0
35.3,88.9,5.78,29.1,194.7,7.9,5.0
33.3,54.6,5.82,22.8,112.7,5.0,5.0
37.1,76.9,5.69,15.8,87.1,5.0,5.0
33.4,24.0,5.06,18.1,142.6,5.0,5.0
33.9,68.3,5.58,10.0,69.9,5.1,5.0
30.3,39.7,5.47,12.2,60.8,12.0,5.0
33.9,96.0,5.13,22.6,174.2,10.7,8.57
30.0,74.6,5.64,21.5,113.7,6.7,5.0
31.0,61.6,5.78,20.0,127.7,5.0,5.0
36.9,69.6,5.45,13.4,76.5,7.1,5.0
37.0,33.1,5.59,16.1,59.2,13.1,5.55
36.1,96.0,5.86,17.6,105.2,7.4,5.0
32.6,96.0,5.32,19.2,125.9,6.1,5.0
34.9,66.5,5.62,24.3,164.8,5.0,5.0
35.0,96.0,5.21,18.1,125.2,7.3,5.0
32.1,41.1,5.37,26.7,167.4,8.1,5.0
38.8,36.7,5.23,16.9,67.3,5.7,5.0
37.2,55.7,5.81,10.0,59.6,5.0,5.0
34.4,67.9,4.96,10.0,73.8,8.5,5.0
35.1,44.8,5.25,31.3,165.8,6.7,5.0
35.5,71.4,4.99,21.8,163.9,6.1,5.0
30.0,63.6,4.92,11.8,71.2,6.8,5.0
34.4,33.1,5.33,10.0,54.6,5.0,5.0
33.3,70.8,5.58,14.5,152.8,5.0,5.0
